contributor_id,ethereum_address,impact_percentage
1,0x0000000000000000000000000000000000000000,13.981358189081226
2,0x0000000000000000000000000000000000000000,0.0
3,0x0000000000000000000000000000000000000000,0.0
4,0x0000000000000000000000000000000000000000,0.0
5,0x0000000000000000000000000000000000000000,0.0
6,0xa8a4f4c8e76974ad3465e793d54fa2392338da1b,0.5659121171770972
7,0x0000000000000000000000000000000000000000,0.0
8,0x0000000000000000000000000000000000000000,0.0
9,0xd231cbea9397ba77806176a6c85ace73e45c91f2,4.8934753661784285
10,0x39bb57b112f459f6636fcb7bd87d8acce408e12a,6.657789613848203
11,0x81d80e6c2d30a7e10a1ae2271f6e978dc99d4bf9,0.09986684420772303
12,0x0000000000000000000000000000000000000000,0.0
15,0x0000000000000000000000000000000000000000,0.0
17,0xcdc6dbfbb4755d82c90166b79063b5881906b48e,0.7323568575233023
18,0x59f1202ee4a967183598ad45c23459107d5accd6,0.0
19,0x0000000000000000000000000000000000000000,0.0
20,0x0000000000000000000000000000000000000000,0.0
21,0x0000000000000000000000000000000000000000,0.0
22,0x0000000000000000000000000000000000000000,0.0
23,0x0000000000000000000000000000000000000000,0.0
24,0xcec0e2214d43f8245c1302904c02d666fc65e6bc,0.0
25,0x5eb194eba98c028fb9625fb18f392497ddb5d144,0.0
26,0x92ad2bf2c30b0250188d4156da5628c0d524ae9b,0.6657789613848203
27,0xafac34fb316fe797f775898d2dfb6157815ffedc,0.13315579227696406
28,0x87e0171af6c332b79e6919dc788ab2853764ddc7,0.0
29,0xca5fd34f640866a30b98caba531af11363b16d5c,8.5219707057257
30,0x36a0880ce5d9faa1de64572e51b25e1954004380,25.499334221038616
31,0xf72ff6980d2c62258b54da10178e1ddd87409a33,0.0
32,0x9d8dc28e9d9c4c5a387a858182edf9ab8b90f565,34.753661784287615
33,0x770169a2461ed9eab84f9cc87ad00bdd8894f158,3.4953395472703064
